model,deadline_miss_rate,cost_per_episode,rank
model_95000.d3,0.54,7432.081874079741,1
model_55000.d3,0.54,7435.966273064129,2
model_50000.d3,0.54,7457.926588243954,3
model_80000.d3,0.54,7482.826573309638,4
model_85000.d3,0.54,7499.172539109513,5
model_60000.d3,0.54,7501.3234646115825,6
model_75000.d3,0.54,7503.174840012007,7
model_70000.d3,0.54,7507.121514530554,8
model_90000.d3,0.54,7527.692184341848,9
model_65000.d3,0.54,7529.377287400439,10
model_40000.d3,0.54,15533.368969218322,11
model_15000.d3,0.54,15533.637541354317,12
model_25000.d3,0.54,15565.431109842119,13
model_20000.d3,0.54,15587.73614163598,14
model_10000.d3,0.54,15595.932317746598,15
model_30000.d3,0.54,15674.495305237826,16
model_35000.d3,0.54,15714.619389355314,17
model_45000.d3,0.54,15728.770875335596,18
model_5000.d3,0.54,15860.915076073426,19
