model,deadline_miss_rate,cost_per_episode,rank
model_10000.d3,1.0,143686.29872571974,1
model_20000.d3,1.0,156291.44599819183,2
model_60000.d3,1.0,175290.65083436965,3
model_90000.d3,1.0,189123.16223955154,4
model_140000.d3,1.0,190116.76966981887,5
model_70000.d3,1.0,194342.42646989823,6
model_80000.d3,1.0,204767.43681297303,7
model_160000.d3,1.0,209376.2147119522,8
model_200000.d3,1.0,217398.81567258836,9
model_110000.d3,1.0,221792.990629673,10
model_120000.d3,1.0,224306.8931101799,11
model_100000.d3,1.0,225997.27298336028,12
model_30000.d3,1.0,228498.78655651322,13
model_40000.d3,1.0,244525.03353738785,14
model_50000.d3,1.0,290406.48175325396,15
model_130000.d3,1.0,303110.60262613295,16
model_170000.d3,1.0,319537.9859624587,17
model_150000.d3,1.0,373216.9861541748,18
model_190000.d3,1.0,373784.77751740033,19
model_180000.d3,1.0,532294.6986330018,20
